,open,high,low,close,datetime
0,1.26673,1.26673,1.26673,1.26673,2023.09.01 00:00
1,1.26673,1.26746,1.26673,1.26746,2023.09.01 00:00
2,1.26673,1.26746,1.26673,1.26729,2023.09.01 00:00
3,1.26673,1.26762,1.26673,1.26762,2023.09.01 00:00
4,1.26673,1.26762,1.26673,1.26697,2023.09.01 00:00
5,1.26673,1.26762,1.26673,1.26713,2023.09.01 00:00
6,1.26673,1.26762,1.26648,1.26648,2023.09.01 00:00
7,1.26673,1.26762,1.26648,1.26664,2023.09.01 00:00
8,1.26673,1.26762,1.26583,1.26583,2023.09.01 00:00
9,1.26673,1.26762,1.26583,1.26616,2023.09.01 00:00
10,1.26673,1.26762,1.26583,1.26599,2023.09.01 00:00
11,1.26673,1.26762,1.26583,1.26648,2023.09.01 00:00
12,1.26673,1.26762,1.26583,1.26628,2023.09.01 00:00
13,1.26673,1.26762,1.26583,1.26629,2023.09.01 00:00
14,1.26673,1.26762,1.26583,1.26611,2023.09.01 00:00
15,1.26673,1.26762,1.26583,1.26633,2023.09.01 00:00
16,1.26673,1.26762,1.26583,1.26588,2023.09.01 00:00
17,1.26673,1.26762,1.26583,1.26701,2023.09.01 00:00
18,1.26673,1.26762,1.26583,1.26678,2023.09.01 00:00
19,1.26673,1.26768,1.26583,1.26768,2023.09.01 00:00
20,1.26673,1.26768,1.26583,1.26746,2023.09.01 00:00
21,1.26673,1.26836,1.26583,1.26836,2023.09.01 00:00
22,1.26673,1.26836,1.26583,1.26791,2023.09.01 00:00
23,1.26673,1.26836,1.26583,1.26813,2023.09.01 00:00
24,1.26673,1.26836,1.26583,1.26746,2023.09.01 00:00
25,1.26673,1.26836,1.26583,1.26683,2023.09.01 00:00
26,1.26673,1.26836,1.26583,1.26682,2023.09.01 00:00
27,1.26673,1.26836,1.26444,1.26444,2023.09.01 00:00
28,1.26673,1.26836,1.26444,1.26489,2023.09.01 00:00
29,1.26673,1.26836,1.26399,1.26399,2023.09.01 00:00
30,1.26673,1.26836,1.26399,1.26625,2023.09.01 00:00
31,1.26673,1.26836,1.26399,1.2658,2023.09.01 00:00
32,1.26673,1.26836,1.26399,1.2676,2023.09.01 00:00
33,1.26673,1.26836,1.26399,1.26715,2023.09.01 00:00
34,1.26673,1.26896,1.26399,1.26896,2023.09.01 00:00
35,1.26673,1.26896,1.26399,1.26806,2023.09.01 00:00
36,1.26673,1.26896,1.26399,1.26851,2023.09.01 00:00
37,1.26673,1.26896,1.26399,1.26715,2023.09.01 00:00
38,1.26673,1.26896,1.26399,1.2675,2023.09.01 00:00
39,1.26673,1.26896,1.26399,1.26731,2023.09.01 00:00
40,1.26673,1.26896,1.26399,1.2677,2023.09.01 00:00
41,1.26673,1.26896,1.26399,1.26691,2023.09.01 00:00
42,1.26673,1.26896,1.26399,1.2689,2023.09.01 00:00
43,1.26673,1.26896,1.26399,1.2685,2023.09.01 00:00
44,1.26673,1.27009,1.26399,1.27009,2023.09.01 00:00
45,1.26673,1.27009,1.26399,1.26969,2023.09.01 00:00
46,1.26673,1.27128,1.26399,1.27128,2023.09.01 00:00
47,1.26673,1.27128,1.26399,1.27049,2023.09.01 00:00
48,1.26673,1.27128,1.26399,1.27088,2023.09.01 00:00
49,1.26673,1.27128,1.26399,1.26969,2023.09.01 00:00
50,1.26673,1.27128,1.26399,1.26918,2023.09.01 00:00
51,1.26673,1.27128,1.26399,1.2692,2023.09.01 00:00
52,1.26673,1.27128,1.26399,1.26913,2023.09.01 00:00
53,1.26673,1.27128,1.26399,1.26799,2023.09.01 00:00
54,1.26673,1.27128,1.26399,1.27027,2023.09.01 00:00
55,1.26673,1.27128,1.26399,1.26571,2023.09.01 00:00
56,1.26673,1.27128,1.26399,1.26685,2023.09.01 00:00
57,1.26673,1.27128,1.26228,1.26228,2023.09.01 00:00
58,1.26673,1.27128,1.26228,1.26342,2023.09.01 00:00
59,1.26673,1.27128,1.25772,1.25772,2023.09.01 00:00
60,1.26673,1.27128,1.25772,1.26,2023.09.01 00:00
61,1.26673,1.27128,1.25772,1.25886,2023.09.01 00:00
62,1.26673,1.27128,1.25772,1.26228,2023.09.01 00:00
63,1.26673,1.27128,1.25772,1.25887,2023.09.01 00:00
64,1.26673,1.27128,1.25772,1.25976,2023.09.01 00:00
65,1.26673,1.27128,1.25772,1.25963,2023.09.01 00:00
66,1.26673,1.27128,1.25772,1.25989,2023.09.01 00:00
67,1.26673,1.27128,1.25772,1.25937,2023.09.01 00:00
68,1.26673,1.27128,1.25772,1.2595,2023.09.01 00:00
69,1.26673,1.27128,1.25772,1.25898,2023.09.01 00:00
70,1.26673,1.27128,1.25772,1.25911,2023.09.01 00:00
71,1.26673,1.27128,1.25772,1.25846,2023.09.01 00:00
72,1.26673,1.27128,1.25772,1.25872,2023.09.01 00:00
73,1.26673,1.27128,1.25772,1.25859,2023.09.01 00:00
74,1.26673,1.27128,1.25772,1.25898,2023.09.01 00:00
75,1.26673,1.27128,1.25772,1.25873,2023.09.01 00:00
76,1.25845,1.25845,1.25845,1.25845,2023.09.04 00:00
77,1.25845,1.2591,1.25845,1.2591,2023.09.04 00:00
78,1.25845,1.2591,1.25845,1.25897,2023.09.04 00:00
79,1.25845,1.25948,1.25845,1.25948,2023.09.04 00:00
80,1.25845,1.25948,1.25845,1.25935,2023.09.04 00:00
81,1.25845,1.25987,1.25845,1.25987,2023.09.04 00:00
82,1.25845,1.25987,1.25845,1.25961,2023.09.04 00:00
83,1.25845,1.25987,1.25845,1.25974,2023.09.04 00:00
84,1.25845,1.25987,1.25845,1.25935,2023.09.04 00:00
85,1.25845,1.25987,1.25845,1.25954,2023.09.04 00:00
86,1.25845,1.25987,1.25845,1.25903,2023.09.04 00:00
87,1.25845,1.25987,1.25845,1.2592,2023.09.04 00:00
88,1.25845,1.25987,1.25845,1.25886,2023.09.04 00:00
89,1.25845,1.25987,1.25845,1.25971,2023.09.04 00:00
