datetime,open,high,low,close
2019-02-01,3433.57007,3484.12988,3403.02002,3463.5
2019-02-02,3462.19995,3516.48999,3440.78003,3503.87988
2019-02-03,3509.44995,3510.6499,3427.23999,3458.09009
2019-02-04,3457.97998,3483.06006,3434.22998,3463.6499
2019-02-05,3461.21997,3478.95996,3448.63989,3469.0
2019-02-06,3471.54004,3479.37988,3384.01001,3406.41992
2019-02-07,3405.6499,3425.55005,3391.36011,3398.19995
2019-02-08,3398.13989,3730.94995,3378.04004,3658.02002
2019-02-09,3661.6499,3676.06006,3630.0,3665.03003
2019-02-10,3666.04004,3680.8501,3610.34009,3680.8501
2019-02-11,3680.0,3683.03003,3617.93994,3631.93994
2019-02-12,3630.54004,3662.43994,3590.84009,3631.92993
2019-02-13,3631.45996,3664.38989,3595.0,3609.19995
2019-02-14,3609.44995,3625.17993,3576.12988,3590.62988
2019-02-15,3587.90991,3650.0,3574.93994,3601.6001
2019-02-16,3602.13989,3646.46997,3598.59009,3615.61011
2019-02-17,3617.18994,3693.6499,3605.80005,3668.73999
2019-02-18,3666.54004,3922.72998,3659.0,3899.3501
2019-02-19,3896.96997,3992.03003,3858.97998,3909.95996
2019-02-20,3907.78003,3983.43994,3873.68994,3969.71997
2019-02-21,3971.02002,4011.0,3905.13989,3937.59009
2019-02-22,3937.37988,3985.94995,3930.34009,3962.71997
2019-02-23,3963.12012,4156.08008,3934.02002,4115.70996
2019-02-24,4117.47998,4194.77002,3717.98999,3744.6001
2019-02-25,3742.06006,3870.87988,3742.06006,3828.05005
2019-02-26,3828.68994,3841.46997,3784.87012,3810.3999
2019-02-27,3808.26001,3833.79004,3690.54004,3817.13989
2019-02-28,3818.13989,3879.98999,3787.27002,3814.18994
2019-03-01,3813.55005,3856.33008,3813.43994,3823.19995
2019-03-02,3820.47998,3840.40991,3774.95996,3820.0
2019-03-03,3820.25,3834.73999,3784.81006,3806.37988
2019-03-04,3807.75,3828.01001,3674.94995,3715.0
2019-03-05,3716.06006,3876.04004,3705.3999,3857.46997
2019-03-06,3857.69995,3882.54004,3817.70996,3860.81006
2019-03-07,3862.95996,3904.8999,3846.81006,3874.36011
2019-03-08,3874.11011,3928.34009,3805.1001,3866.8999
2019-03-09,3862.8501,3965.6001,3855.97998,3941.93994
2019-03-10,3939.88989,3939.88989,3889.37012,3917.71997
2019-03-11,3918.93994,3936.01001,3838.3501,3871.65991
2019-03-12,3870.96997,3903.86011,3826.88989,3882.78003
2019-03-13,3884.86011,3892.05005,3843.3501,3865.96997
2019-03-14,3864.3999,3917.92993,3819.17993,3876.65991
2019-03-15,3879.48999,3936.19995,3877.42993,3924.31006
2019-03-16,3922.98999,4051.0,3922.41992,4006.0
2019-03-17,4005.79004,4007.28003,3954.65991,3981.92993
2019-03-18,3980.95996,4034.08008,3954.93994,3987.83008
2019-03-19,3988.01001,4030.90991,3971.5,4018.26001
2019-03-20,4016.16992,4046.13989,3985.0,4042.90991
2019-03-21,4042.98999,4060.02002,3900.0,3980.8999
2019-03-22,3980.63989,4005.31006,3970.0,3988.62988
2019-03-23,3986.79004,4017.37988,3979.40991,4006.01001
2019-03-24,4001.95996,4004.07007,3964.31006,3991.20996
2019-03-25,3991.57007,3998.87988,3892.0,3935.0
2019-03-26,3937.32007,3950.3501,3897.84009,3946.8999
2019-03-27,3948.55005,4046.11011,3936.83008,4039.68994
2019-03-28,4035.0,4035.25,4004.86011,4027.81006
2019-03-29,4027.47998,4122.0,4025.1499,4102.06006
2019-03-30,4102.95996,4139.2998,4056.71997,4106.64014
2019-03-31,4107.54004,4116.06982,4083.62012,4103.0
