datetime,open,high,low,close
2015-06-09,228.53799,230.95399,227.929,229.048
2015-06-10,228.995,229.782,228.00999,228.80299
2015-06-11,228.855,230.287,228.767,229.705
2015-06-12,229.705,231.05701,229.313,229.98199
2015-06-13,229.92,232.65199,229.21001,232.40199
2015-06-14,232.442,234.858,232.004,233.543
2015-06-15,233.422,237.836,233.422,236.823
2015-06-16,236.765,251.742,236.12199,250.895
2015-06-17,250.823,256.853,246.476,249.284
2015-06-18,249.42799,252.108,244.127,249.007
2015-06-19,249.043,250.97701,243.787,244.606
2015-06-20,244.53,245.828,240.627,245.21201
2015-06-21,245.10001,245.224,241.882,243.944
2015-06-22,243.96899,247.91701,243.77901,246.99001
2015-06-23,246.927,247.304,243.133,244.29601
2015-06-24,244.282,244.341,240.515,240.515
2015-06-25,240.36501,243.332,240.36501,242.799
2015-06-26,242.604,243.74899,241.55299,243.59399
2015-06-27,243.549,251.339,243.117,250.99001
2015-06-28,250.955,251.172,247.43401,249.011
2015-06-29,248.72099,257.173,248.58099,257.064
2015-06-30,257.03601,267.867,255.946,263.07199
2015-07-01,263.345,265.172,255.774,258.621
2015-07-02,258.552,261.63101,254.116,255.412
2015-07-03,255.459,257.077,253.505,256.336
2015-07-04,256.491,261.457,254.2,260.88599
2015-07-05,260.80499,274.50601,258.70099,271.91299
2015-07-06,271.108,277.422,267.60001,269.03
2015-07-07,269.96301,271.341,264.832,266.207
2015-07-08,265.98199,272.97101,264.38599,270.785
2015-07-09,270.827,272.33499,267.086,269.228
2015-07-10,269.15601,294.591,268.802,284.89401
2015-07-11,284.88,298.50601,283.53,293.11499
2015-07-12,293.14001,314.39401,292.505,310.867
2015-07-13,310.827,310.948,281.01099,292.05399
2015-07-14,292.034,296.147,286.638,287.46399
2015-07-15,288.04501,293.24799,285.367,285.82901
2015-07-16,286.04199,291.18301,275.23999,278.08899
2015-07-17,278.091,280.28,272.043,279.47198
2015-07-18,279.33099,282.52701,274.07501,274.901
2015-07-19,274.767,275.67001,272.513,273.61401
2015-07-20,273.49899,278.98099,272.95999,278.98099
2015-07-21,278.88199,280.547,275.41901,275.83301
2015-07-22,275.65701,277.66599,274.38101,277.22198
2015-07-23,277.341,278.11099,275.716,276.04901
2015-07-24,276.005,289.25299,275.254,288.27802
2015-07-25,288.164,290.733,286.00201,288.69699
2015-07-26,288.64001,293.052,287.70599,292.686
2015-07-27,292.63901,297.77399,287.45001,293.62399
2015-07-28,293.633,296.64899,293.423,294.427
2015-07-29,294.48401,294.53601,288.77701,289.59
2015-07-30,289.103,290.12601,286.56799,287.72198
2015-07-31,287.69601,288.95901,282.34399,284.64999
2015-08-01,284.686,284.93201,278.112,281.60101
2015-08-02,280.44901,283.03201,277.52899,282.61401
2015-08-03,282.806,285.47101,280.233,281.22699
2015-08-04,281.22501,285.715,281.22501,285.21799
2015-08-05,284.84698,285.50101,281.48801,281.88199
2015-08-06,281.90601,281.90601,278.40302,278.577
2015-08-07,278.741,280.392,276.366,279.58499
2015-08-08,279.742,279.92801,260.70999,260.99701
2015-08-09,261.116,267.00299,260.46799,265.08301
2015-08-10,265.478,267.03201,262.59601,264.47
2015-08-11,264.34201,270.38599,264.09399,270.38599
2015-08-12,270.59799,270.673,265.46899,266.37601
2015-08-13,266.18301,266.23199,262.841,264.07999
2015-08-14,264.13199,267.466,261.478,265.67999
2015-08-15,265.52899,266.66699,261.29599,261.55099
2015-08-16,261.866,262.44,257.04099,258.50699
2015-08-17,258.48999,260.505,257.117,257.97601
2015-08-18,257.92599,257.99301,211.07899,211.07899
2015-08-19,225.67101,237.409,222.76601,226.68401
2015-08-20,226.899,237.36501,226.899,235.35001
2015-08-21,235.355,236.43201,231.724,232.569
2015-08-22,232.662,234.957,222.70399,230.39
2015-08-23,230.37601,232.705,225.58,228.16901
2015-08-24,228.112,228.13901,210.44299,210.495
2015-08-25,210.06799,226.321,199.567,221.60899
2015-08-26,222.076,231.183,220.20399,225.83099
2015-08-27,226.05,228.64301,223.68401,224.769
2015-08-28,224.701,235.21899,220.92599,231.396
2015-08-29,231.549,233.222,227.33,229.78
2015-08-30,229.895,232.06799,226.24699,228.761
2015-08-31,229.114,231.95599,225.91499,230.056
2015-09-01,230.256,231.216,226.86,228.121
2015-09-02,228.02699,230.577,226.47501,229.284
2015-09-03,229.32401,229.605,226.66701,227.183
2015-09-04,227.215,230.89999,227.05099,230.298
2015-09-05,230.19901,236.14301,229.44299,235.019
2015-09-06,234.87,242.912,234.681,239.84
2015-09-07,239.93401,242.106,238.722,239.847
2015-09-08,239.84599,245.78101,239.67799,243.60699
2015-09-09,243.41499,244.416,237.821,238.168
2015-09-10,238.336,241.293,235.791,238.47701
2015-09-11,238.32899,241.16901,238.32899,240.10699
2015-09-12,239.855,240.12399,234.754,235.229
2015-09-13,235.242,235.935,229.332,230.51199
2015-09-14,230.60899,232.44,227.961,230.644
2015-09-15,230.492,259.18201,229.82201,230.304
2015-09-16,230.25,231.215,227.40199,229.091
2015-09-17,229.076,230.285,228.92599,229.81
2015-09-18,233.521,234.353,232.185,232.97501
2015-09-19,232.858,233.205,231.089,231.493
2015-09-20,231.399,232.36501,230.91,231.21201
2015-09-21,231.217,231.217,226.521,227.08501
2015-09-22,226.96899,232.386,225.117,230.618
2015-09-23,230.936,231.83501,229.591,230.283
2015-09-24,230.358,235.649,230.295,234.52901
2015-09-25,234.362,237.427,233.68401,235.144
2015-09-26,235.076,235.403,233.358,234.34
2015-09-27,234.13901,234.526,232.476,232.757
2015-09-28,232.836,239.339,232.467,239.142
2015-09-29,239.01601,239.802,235.92799,236.687
2015-09-30,236.64,237.73399,235.629,236.06
2015-10-01,236.004,238.44501,235.616,237.549
2015-10-02,237.26401,238.541,236.603,237.293
2015-10-03,237.202,239.315,236.944,238.73
2015-10-04,238.53101,238.968,237.94,238.259
2015-10-05,238.147,240.383,237.035,240.383
2015-10-06,240.364,246.935,240.136,246.063
2015-10-07,246.17,246.681,242.58501,242.96899
2015-10-08,243.075,244.25101,242.179,242.304
2015-10-09,242.498,244.228,242.12199,243.931
2015-10-10,243.74001,245.319,243.07401,244.94099
2015-10-11,244.742,247.243,244.15199,247.05
2015-10-12,246.875,247.45399,245.179,245.308
2015-10-13,245.2,250.23599,243.757,249.508
2015-10-14,249.493,254.27499,248.903,251.989
2015-10-15,252.10699,255.96201,252.04601,254.32001
2015-10-16,254.29601,266.13501,253.92599,262.86899
2015-10-17,262.74701,273.578,262.367,270.64001
2015-10-18,270.90701,271.668,260.77701,261.64301
2015-10-19,261.86099,264.82001,260.95099,263.43701
2015-10-20,263.57199,270.83499,263.22699,269.46301
2015-10-21,269.306,270.76999,263.83899,266.272
2015-10-22,266.496,276.51001,266.13501,274.02301
2015-10-23,273.64899,278.68399,273.543,276.496
2015-10-24,276.504,281.70599,276.504,281.65399
2015-10-25,281.44501,294.05899,281.44501,283.67999
2015-10-26,283.62799,285.29999,280.51001,285.29999
2015-10-27,285.181,296.21201,285.008,293.78799
2015-10-28,293.703,306.33099,293.703,304.61801
2015-10-29,304.32401,318.17001,301.823,313.85501
2015-10-30,313.94299,334.16901,313.94,328.01501
2015-10-31,328.51199,332.77701,309.25101,314.16599
2015-11-01,315.005,327.47198,311.88101,325.431
2015-11-02,325.94199,365.35999,323.20901,361.189
2015-11-03,361.87299,417.89999,357.647,403.41699
2015-11-04,403.664,495.56201,380.548,411.56299
2015-11-05,408.077,447.561,374.58099,386.354
2015-11-06,388.047,395.836,354.02499,374.47
2015-11-07,374.26901,390.586,372.43301,386.48199
