datetime,open,high,low,close,48_or_72LastBar_32*24bar,48_or_72LastBar_50*24bar,increace_N-opip,decrease_N -opip,don’tChange,TP_M-oPip_willTouch,TL_1/3M-oPip_willTouch,No_M-oPip_willTouch,,
12/15/2022 1:00,18104.55078,18152.38086,18085.19922,18100.01953,10,15,1,0,0,0,0,1,,N-o = 
12/15/2022 2:00,18095.63086,18360.83984,18045.60938,18119.58008,,,,,,,,,,
12/15/2022 3:00,18200,18236.53906,17722.74023,17781.53906,,,,,,,,,,
12/15/2022 4:00,17793.06055,17938.19922,17687.69922,17780.30078,,,,,,,,,,
12/15/2022 5:00,17773.66016,17847.31055,17767.23047,17827.50977,,,,,,,,,,
12/15/2022 6:00,17828.40039,17874.33008,17804.93945,17833.48047,,,,,,,,,,
12/15/2022 7:00,17834.75977,17846.36914,17786.69922,17800.08984,,,,,,,,,,
12/15/2022 8:00,17800.08984,17854.89062,17791,17791,,,,,,,,,,
12/15/2022 9:00,17793.58008,17822.33008,17615.73047,17635.07031,,,,,,,,,,
12/15/2022 10:00,17635.07031,17719.91992,17579.96094,17716.25977,,,,,,,,,,
12/15/2022 11:00,17716.43945,17755.98047,17710.15039,17730.78906,,,,,,,,,,
12/15/2022 12:00,17726.98047,17731.5,17683.41992,17707.41992,,,,,,,,,,
12/15/2022 13:00,17710.19922,17737.78906,17697.00977,17719.0293,,,,,,,,,,
12/15/2022 14:00,17715.14062,17745.41016,17711.05078,17725,,,,,,,,,,
12/15/2022 15:00,17723.18945,17741.51953,17692.25,17692.25,,,,,,,,,,
12/15/2022 16:00,17697.19922,17713.64062,17629.78906,17630.86914,,,,,,,,,,
12/15/2022 17:00,17630.84961,17697.88086,17621.05078,17696.00977,,,,,,,,,,
12/15/2022 18:00,17696.24023,17698.39062,17652.56055,17673.11914,,,,,,,,,,
12/15/2022 19:00,17671.51953,17726.53906,17657.90039,17722.01953,,,,,,,,,,
12/15/2022 20:00,17722.68945,17728.66016,17665.89062,17681.57031,,,,,,,,,,
12/15/2022 21:00,17687.73047,17693.7207,17464.74023,17509.78906,,,,,,,,,,
12/15/2022 22:00,17514.84961,17548.01953,17434.91016,17446.09961,,,,,,,,,,
12/15/2022 23:00,17444.10938,17485.33984,17397.69922,17416.76953,,,,,,,,,,
12/16/2022 0:00,17425.7793,17438.11914,17359.14062,17408.08008,,,,,,,,,,
12/16/2022 1:00,17396.68945,17432.9707,17376.43945,17392.83984,,,,,,,,,,
12/16/2022 2:00,17395.19922,17412.88086,17328.07031,17378.25977,,,,,,,,,,
12/16/2022 3:00,17378.44922,17463.98047,17374.08008,17437.65039,,,,,,,,,,
12/16/2022 4:00,17444.71094,17459.09961,17411.16992,17416.30078,,,,,,,,,,
12/16/2022 5:00,17411.16992,17425.15039,17342.7793,17390.56055,,,,,,,,,,
12/16/2022 6:00,17389.98047,17405.66016,17301.75,17337.41992,,,,,,,,,,
