,tick,open,high,low,close,datetime
0,2023.09.01 00:00,1.26673,1.26673,1.26673,1.26673,2023.09.01 00:00:00
1,2023.09.01 00:20,1.26673,1.26746,1.26673,1.26746,2023.09.01 00:00:00
2,2023.09.01 00:40,1.26673,1.26746,1.26673,1.26729,2023.09.01 00:00:00
3,2023.09.01 01:00,1.26673,1.26762,1.26673,1.26762,2023.09.01 00:00:00
4,2023.09.01 01:20,1.26673,1.26762,1.26673,1.26697,2023.09.01 00:00:00
5,2023.09.01 01:40,1.26673,1.26762,1.26673,1.26713,2023.09.01 00:00:00
6,2023.09.01 02:00,1.26673,1.26762,1.26648,1.26648,2023.09.01 00:00:00
7,2023.09.01 02:20,1.26673,1.26762,1.26648,1.26664,2023.09.01 00:00:00
8,2023.09.01 02:40,1.26673,1.26762,1.26583,1.26583,2023.09.01 00:00:00
9,2023.09.01 03:00,1.26673,1.26762,1.26583,1.26616,2023.09.01 00:00:00
10,2023.09.01 03:20,1.26673,1.26762,1.26583,1.26599,2023.09.01 00:00:00
11,2023.09.01 03:40,1.26673,1.26762,1.26583,1.26648,2023.09.01 00:00:00
12,2023.09.01 03:40,1.26673,1.26762,1.26583,1.26628,2023.09.01 00:00:00
13,2023.09.01 04:00,1.26673,1.26762,1.26583,1.26629,2023.09.01 00:00:00
14,2023.09.01 04:20,1.26673,1.26762,1.26583,1.26611,2023.09.01 00:00:00
15,2023.09.01 04:40,1.26673,1.26762,1.26583,1.26633,2023.09.01 00:00:00
16,2023.09.01 05:00,1.26673,1.26762,1.26583,1.26588,2023.09.01 00:00:00
17,2023.09.01 05:20,1.26673,1.26762,1.26583,1.26701,2023.09.01 00:00:00
18,2023.09.01 05:40,1.26673,1.26762,1.26583,1.26678,2023.09.01 00:00:00
19,2023.09.01 06:00,1.26673,1.26768,1.26583,1.26768,2023.09.01 00:00:00
20,2023.09.01 06:20,1.26673,1.26768,1.26583,1.26746,2023.09.01 00:00:00
21,2023.09.01 06:40,1.26673,1.26836,1.26583,1.26836,2023.09.01 00:00:00
22,2023.09.01 07:00,1.26673,1.26836,1.26583,1.26791,2023.09.01 00:00:00
23,2023.09.01 07:20,1.26673,1.26836,1.26583,1.26813,2023.09.01 00:00:00
24,2023.09.01 07:40,1.26673,1.26836,1.26583,1.26746,2023.09.01 00:00:00
25,2023.09.01 07:40,1.26673,1.26836,1.26583,1.26683,2023.09.01 00:00:00
26,2023.09.01 08:00,1.26673,1.26836,1.26583,1.26682,2023.09.01 00:00:00
27,2023.09.01 08:20,1.26673,1.26836,1.26444,1.26444,2023.09.01 00:00:00
28,2023.09.01 08:40,1.26673,1.26836,1.26444,1.26489,2023.09.01 00:00:00
29,2023.09.01 09:00,1.26673,1.26836,1.26399,1.26399,2023.09.01 00:00:00
30,2023.09.01 09:20,1.26673,1.26836,1.26399,1.26625,2023.09.01 00:00:00
31,2023.09.01 09:40,1.26673,1.26836,1.26399,1.2658,2023.09.01 00:00:00
32,2023.09.01 10:00,1.26673,1.26836,1.26399,1.2676,2023.09.01 00:00:00
33,2023.09.01 10:20,1.26673,1.26836,1.26399,1.26715,2023.09.01 00:00:00
34,2023.09.01 10:40,1.26673,1.26896,1.26399,1.26896,2023.09.01 00:00:00
35,2023.09.01 11:00,1.26673,1.26896,1.26399,1.26806,2023.09.01 00:00:00
36,2023.09.01 11:20,1.26673,1.26896,1.26399,1.26851,2023.09.01 00:00:00
37,2023.09.01 11:40,1.26673,1.26896,1.26399,1.26715,2023.09.01 00:00:00
38,2023.09.01 12:00,1.26673,1.26896,1.26399,1.2675,2023.09.01 00:00:00
39,2023.09.01 12:20,1.26673,1.26896,1.26399,1.26731,2023.09.01 00:00:00
40,2023.09.01 12:40,1.26673,1.26896,1.26399,1.2677,2023.09.01 00:00:00
41,2023.09.01 13:00,1.26673,1.26896,1.26399,1.26691,2023.09.01 00:00:00
42,2023.09.01 13:20,1.26673,1.26896,1.26399,1.2689,2023.09.01 00:00:00
43,2023.09.01 13:40,1.26673,1.26896,1.26399,1.2685,2023.09.01 00:00:00
44,2023.09.01 14:00,1.26673,1.27009,1.26399,1.27009,2023.09.01 00:00:00
45,2023.09.01 14:20,1.26673,1.27009,1.26399,1.26969,2023.09.01 00:00:00
46,2023.09.01 14:40,1.26673,1.27128,1.26399,1.27128,2023.09.01 00:00:00
47,2023.09.01 15:00,1.26673,1.27128,1.26399,1.27049,2023.09.01 00:00:00
48,2023.09.01 15:20,1.26673,1.27128,1.26399,1.27088,2023.09.01 00:00:00
49,2023.09.01 15:40,1.26673,1.27128,1.26399,1.26969,2023.09.01 00:00:00
50,2023.09.01 15:40,1.26673,1.27128,1.26399,1.26918,2023.09.01 00:00:00
51,2023.09.01 16:00,1.26673,1.27128,1.26399,1.2692,2023.09.01 00:00:00
52,2023.09.01 16:20,1.26673,1.27128,1.26399,1.26913,2023.09.01 00:00:00
